model,n,p,seed,nr_cliques,max_clique,time_cliques
dense_gnp,25,0.7,291,232,9,0.489937
dense_gnp,25,0.7,34,253,10,0.226635
dense_gnp,25,0.7,3728,186,7,0.405009
dense_gnp,25,0.7,4029,255,8,0.639747
dense_gnp,25,0.7,482,178,8,0.392857
dense_gnp,25,0.7,56,200,9,0.209943
dense_gnp,25,0.7,7821,187,8,0.178374
dense_gnp,25,0.7,917,194,8,0.534077
dense_gnp,25,0.7,91928,207,9,0.555238
dense_gnp,25,0.7,92839,167,7,0.477505
dense_gnp,25,0.7,9291,187,9,0.558451
dense_gnp,25,0.7,934,153,10,0.578705
dense_gnp,25,0.7,93728,179,8,0.187174
dense_gnp,25,0.7,94029,181,9,0.614254
dense_gnp,25,0.7,9482,194,8,0.521226
dense_gnp,25,0.7,956,161,9,0.169924
dense_gnp,25,0.7,97821,251,9,0.547625
superdense_gnp,25,0.84,17,323,12,0.949283
superdense_gnp,25,0.84,1928,422,11,0.982597
superdense_gnp,25,0.84,2839,364,12,0.923581
superdense_gnp,25,0.84,291,366,12,0.922044
superdense_gnp,25,0.84,34,499,12,0.949283
superdense_gnp,25,0.84,3728,316,10,0.845289
superdense_gnp,25,0.84,4029,177,13,0.661676
superdense_gnp,25,0.84,482,282,10,0.839492
superdense_gnp,25,0.84,56,356,12,0.968629
superdense_gnp,25,0.84,7821,274,12,0.636254
superdense_gnp,25,0.84,917,266,12,0.293403
superdense_gnp,25,0.84,91928,450,11,0.994470
superdense_gnp,25,0.84,92839,296,12,0.822102
superdense_gnp,25,0.84,9291,211,14,0.748419
superdense_gnp,25,0.84,934,288,13,0.882235
superdense_gnp,25,0.84,93728,460,12,0.310166
superdense_gnp,25,0.84,94029,290,13,0.744298
superdense_gnp,25,0.84,9482,400,12,0.729213
superdense_gnp,25,0.84,956,315,11,0.314845
superdense_gnp,25,0.84,97821,288,13,0.327485
dense_gnp,25,0.8,17,225,11,0.772794
dense_gnp,25,0.8,1928,343,10,0.792768
dense_gnp,25,0.8,2839,376,12,0.738781
dense_gnp,25,0.8,291,288,12,0.798635
dense_gnp,25,0.8,34,300,12,0.812324
dense_gnp,25,0.8,3728,244,9,0.711124
dense_gnp,25,0.8,4029,184,12,0.642609
dense_gnp,25,0.8,482,218,10,0.738222
dense_gnp,25,0.8,56,250,11,0.707003
dense_gnp,25,0.8,7821,284,10,0.770000
dense_gnp,25,0.8,917,201,10,0.266794
dense_gnp,25,0.8,91928,299,10,0.299549
dense_gnp,25,0.8,92839,225,10,0.682210
dense_gnp,25,0.8,9291,223,11,0.267492
dense_gnp,25,0.8,934,237,13,0.278247
dense_gnp,25,0.8,93728,400,11,0.672013
dense_gnp,25,0.8,94029,249,11,0.742692
dense_gnp,25,0.8,9482,295,11,0.781174
dense_gnp,25,0.8,956,177,11,0.625917
dense_gnp,25,0.8,97821,234,11,0.722438
superdense_gnp,25,0.92,17,352,14,0.296755
superdense_gnp,25,0.92,1928,190,15,0.250660
superdense_gnp,25,0.92,2839,112,17,0.629550
superdense_gnp,25,0.92,291,99,16,0.218045
superdense_gnp,25,0.92,34,128,17,0.676972
superdense_gnp,25,0.92,3728,163,14,0.787391
superdense_gnp,25,0.92,4029,174,15,0.746045
superdense_gnp,25,0.92,482,260,14,0.304508
superdense_gnp,25,0.92,56,150,16,0.659441
superdense_gnp,25,0.92,7821,322,14,0.908775
superdense_gnp,25,0.92,917,96,15,0.580800
superdense_gnp,25,0.92,91928,110,16,0.237251
superdense_gnp,25,0.92,92839,316,14,0.708679
superdense_gnp,25,0.92,9291,104,17,0.478483
superdense_gnp,25,0.92,934,60,17,0.213016
superdense_gnp,25,0.92,93728,74,16,0.529746
superdense_gnp,25,0.92,94029,200,17,0.261346
superdense_gnp,25,0.92,9482,186,15,0.253175
superdense_gnp,25,0.92,956,448,15,0.886775
superdense_gnp,25,0.92,97821,176,16,0.261346
superdense_gnp,25,0.96,17,24,20,0.515988
superdense_gnp,25,0.96,1928,144,17,0.509213
superdense_gnp,25,0.96,2839,32,20,0.187594
superdense_gnp,25,0.96,291,24,20,0.483022
superdense_gnp,25,0.96,34,16,21,0.471778
superdense_gnp,25,0.96,3728,48,19,0.180749
